order_id,order_date,order_time,customer_id,store_location,product,flavor,quantity,price_per_unit,total_price,payment_method,order_type,promotion
1,10/25/2024,5,1,Suburb,Donut,Jelly Filled,6,1.83,10.98,Cash,In-store,10% Off
1,10/25/2024,5,1,Uptown,Donut,Lemon Glazed,4,1.1,4.4,Cash,In-store,10% Off
1,10/25/2024,5,1,Midtown,Donut,Apple Fritter,2,3.15,6.3,Cash,Delivery,10% Off
2,11/5/2024,13,2,Downtown,Donut,Chocolate Twist,6,2.27,13.62,Cash,In-store,None
2,11/5/2024,13,2,Downtown,Donut,Maple Bar,4,1.29,5.16,Credit Card,Delivery,Buy 1 Get 1
3,12/8/2024,10,3,Midtown,Donut,Apple Fritter,1,3.92,3.92,Cash,Delivery,10% Off
3,12/8/2024,10,3,Uptown,Hot Tea,,5,1.58,7.9,Cash,In-store,None
3,12/8/2024,10,3,Midtown,Donut,Old Fashioned,1,2.14,2.14,Credit Card,Delivery,Buy 1 Get 1
4,10/27/2024,12,4,Uptown,Hot Tea,,2,3.01,6.02,Credit Card,In-store,10% Off
4,10/27/2024,12,4,Downtown,Coffee,,2,2.39,4.78,Credit Card,In-store,10% Off
5,11/14/2024,15,5,Midtown,Donut,Old Fashioned,1,3.42,3.42,Mobile,In-store,Buy 1 Get 1
5,11/14/2024,15,5,Midtown,Hot Tea,,2,2.97,5.94,Credit Card,Delivery,Buy 1 Get 1
6,10/28/2024,9,6,Downtown,Coffee,,2,3.23,6.46,Credit Card,Delivery,10% Off
6,10/28/2024,9,6,Suburb,Donut,Cinnamon Sugar,2,3.99,7.98,Credit Card,Delivery,Buy 1 Get 1
7,11/17/2024,5,7,Midtown,Donut,Chocolate Twist,6,1.48,8.88,Credit Card,In-store,None
8,11/19/2024,23,8,Uptown,Donut,Apple Fritter,3,3.91,11.73,Credit Card,In-store,10% Off
8,11/19/2024,23,8,Downtown,Hot Tea,,6,2.02,12.12,Mobile,In-store,None
9,11/16/2024,10,9,Uptown,Hot Tea,,5,3.29,16.45,Credit Card,Delivery,10% Off
10,11/16/2024,6,10,Suburb,Coffee,,2,2.12,4.24,Credit Card,In-store,10% Off
10,11/16/2024,6,10,Downtown,Hot Tea,,4,1.06,4.24,Mobile,In-store,Buy 1 Get 1
10,11/16/2024,6,10,Uptown,Coffee,,5,3.84,19.2,Credit Card,Delivery,Buy 1 Get 1
11,10/19/2024,23,11,Suburb,Coffee,,2,2.98,5.96,Mobile,Delivery,Buy 1 Get 1
11,10/19/2024,23,11,Downtown,Coffee,,6,1.94,11.64,Mobile,Delivery,Buy 1 Get 1
11,10/19/2024,23,11,Uptown,Coffee,,2,1.19,2.38,Credit Card,In-store,10% Off
12,12/16/2024,8,12,Suburb,Donut,Maple Bar,6,2.89,17.34,Cash,In-store,None
13,12/4/2024,4,13,Suburb,Coffee,,3,3.01,9.03,Credit Card,In-store,10% Off
14,12/2/2024,13,14,Suburb,Donut,Old Fashioned,4,3.42,13.68,Cash,In-store,10% Off
14,12/2/2024,13,14,Uptown,Donut,Cinnamon Sugar,4,2.23,8.92,Credit Card,In-store,Buy 1 Get 1
14,12/2/2024,13,14,Suburb,Donut,Cinnamon Sugar,1,1.75,1.75,Credit Card,Delivery,Buy 1 Get 1
15,12/27/2024,8,15,Uptown,Coffee,,3,2.39,7.17,Mobile,In-store,Buy 1 Get 1
15,12/27/2024,8,15,Midtown,Donut,Maple Bar,2,1.5,3,Mobile,In-store,None
16,10/17/2024,3,16,Midtown,Coffee,,4,1.01,4.04,Mobile,Delivery,None
17,12/7/2024,5,17,Uptown,Donut,Chocolate Twist,2,1.89,3.78,Credit Card,In-store,10% Off
17,12/7/2024,5,17,Midtown,Hot Tea,,1,1.15,1.15,Credit Card,In-store,Buy 1 Get 1
18,10/7/2024,10,18,Suburb,Donut,Chocolate Twist,1,2.79,2.79,Mobile,In-store,10% Off
18,10/7/2024,10,18,Uptown,Coffee,,5,2.78,13.9,Mobile,Delivery,None
18,10/7/2024,10,18,Suburb,Coffee,,6,3.15,18.9,Mobile,Delivery,Buy 1 Get 1
19,11/20/2024,9,19,Uptown,Hot Tea,,4,1.95,7.8,Cash,Delivery,10% Off
19,11/20/2024,9,19,Downtown,Donut,Maple Bar,5,1.64,8.2,Cash,Delivery,Buy 1 Get 1
19,11/20/2024,9,19,Midtown,Coffee,,3,1.85,5.55,Credit Card,Delivery,10% Off
20,12/14/2024,5,20,Uptown,Donut,Apple Fritter,3,3.8,11.4,Cash,Delivery,Buy 1 Get 1
20,12/14/2024,5,20,Suburb,Donut,Apple Fritter,2,1.82,3.64,Credit Card,Delivery,Buy 1 Get 1
20,12/14/2024,5,20,Uptown,Hot Tea,,5,2.47,12.35,Cash,Delivery,None
21,11/12/2024,22,21,Downtown,Donut,Cinnamon Sugar,2,2.91,5.82,Cash,Delivery,10% Off
22,12/13/2024,12,22,Suburb,Donut,Apple Fritter,1,1.34,1.34,Credit Card,In-store,None
22,12/13/2024,12,22,Downtown,Coffee,,4,1.38,5.52,Mobile,In-store,None
22,12/13/2024,12,22,Uptown,Coffee,,6,1.75,10.5,Mobile,Delivery,10% Off
23,10/17/2024,6,23,Suburb,Coffee,,2,3.59,7.18,Mobile,In-store,Buy 1 Get 1
23,10/17/2024,6,23,Suburb,Hot Tea,,4,3.41,13.64,Mobile,In-store,10% Off
23,10/17/2024,6,23,Suburb,Donut,Vanilla Frosted,1,3.58,3.58,Cash,Delivery,None
